numero;categoria;projeto;url;arquivo;tipo;origem_pdf;score_correspondencia
1;Iluminação Pública;Iluminação Pública – Alagoinhas (BA);https://ppi.gov.br/projetos/iluminacao-publica-alagoinhas-ba/;001_Iluminacao_Publica_Iluminacao_Publica_Alagoinhas_BA.pdf;PDF consolidado da base PPI;Pasta unificada auditada;0.99
2;Iluminação Pública;Iluminação Pública – Aracaju (SE);https://ppi.gov.br/projetos/iluminacao-publica-aracaju-se/;002_Iluminacao_Publica_Iluminacao_Publica_Aracaju_SE.pdf;PDF consolidado da base PPI;Pasta unificada auditada;0.99
3;Iluminação Pública;Iluminação Pública – Araçatuba (SP);https://ppi.gov.br/projetos/iluminacao-publica-ip-aracatuba-sp/;003_Iluminacao_Publica_Iluminacao_Publica_Aracatuba_SP.pdf;PDF consolidado da base PPI;Pasta unificada auditada;0.99
4;Iluminação Pública;Iluminação Pública – Araguari (MG);https://ppi.gov.br/projetos/iluminacao-publica-ip-araguari-mg/;004_Iluminacao_Publica_Iluminacao_Publica_Araguari_MG.pdf;PDF consolidado da base PPI;Pasta unificada auditada;0.99
5;Iluminação Pública;Iluminação Pública – Araripina (PE);https://ppi.gov.br/projetos/iluminacao-publica-araripina-pe/;005_Iluminacao_Publica_Iluminacao_Publica_Araripina_PE.pdf;PDF consolidado da base PPI;Pasta unificada auditada;0.99
6;Iluminação Pública;Iluminação Pública – Ariquemes (RO);https://ppi.gov.br/projetos/iluminacao-publica-ariquemes-ro/;006_Iluminacao_Publica_Iluminacao_Publica_Ariquemes_RO.pdf;PDF consolidado da base PPI;Pasta unificada auditada;0.99
7;Iluminação Pública;Iluminação Pública – Arujá (SP);https://ppi.gov.br/projetos/iluminacao-publica-aruja-sp/;007_Iluminacao_Publica_Iluminacao_Publica_Aruja_SP.pdf;PDF consolidado da base PPI;Pasta unificada auditada;0.99
8;Iluminação Pública;Iluminação Pública – Atibaia (SP);https://ppi.gov.br/projetos/iluminacao-publica-atibaia-sp/;008_Iluminacao_Publica_Iluminacao_Publica_Atibaia_SP.pdf;PDF consolidado da base PPI;Pasta unificada auditada;0.99
9;Iluminação Pública;Iluminação Pública – Barbalha (CE);https://ppi.gov.br/projetos/iluminacao-publica-barbalha-ce/;009_Iluminacao_Publica_Iluminacao_Publica_Barbalha_CE.pdf;PDF consolidado da base PPI;Pasta unificada auditada;0.99
10;Iluminação Pública;Iluminação Pública – Barra dos Coqueiros (SE);https://ppi.gov.br/projetos/iluminacao-publica-barra-dos-coqueiros-se/;010_Iluminacao_Publica_Iluminacao_Publica_Barra_dos_Coqueiros_SE.pdf;PDF consolidado da base PPI;Pasta unificada auditada;0.99
11;Iluminação Pública;Iluminação Pública – Barreiras (BA);https://ppi.gov.br/projetos/iluminacao-publica-barreiras-ba/;011_Iluminacao_Publica_Iluminacao_Publica_Barreiras_BA.pdf;PDF consolidado da base PPI;Pasta unificada auditada;0.99
12;Iluminação Pública;Iluminação Pública – Belém (PA);https://ppi.gov.br/projetos/iluminacao-publica-belem-pa/;012_Iluminacao_Publica_Iluminacao_Publica_Belem_PA.pdf;PDF consolidado da base PPI;Pasta unificada auditada;0.99
13;Iluminação Pública;Iluminação Pública – Cachoeiro de Itapemirim (ES);https://ppi.gov.br/projetos/iluminacao-publica-cachoeiro-do-itapemirim-es/;013_Iluminacao_Publica_Iluminacao_Publica_Cachoeiro_de_Itapemirim_ES.pdf;PDF consolidado da base PPI;Pasta unificada auditada;0.99
14;Iluminação Pública;Iluminação Pública – Caicó (RN);https://ppi.gov.br/projetos/iluminacao-publica-caico-rn/;014_Iluminacao_Publica_Iluminacao_Publica_Caico_RN.pdf;PDF consolidado da base PPI;Pasta unificada auditada;0.99
